Date,Day,Event,Website,Notes
31-Dec-22,0,No Galan 5 KM ,https://www.welshathletics.org/en/competition/current/view/nos-galan,0
11-Feb-23,Saturday,Hoka Half marathon / 10 K ,https://toughrunneruk.com/events/hora-half-marathon-10k/,0
19-Feb-23,Sunday,Ruthin 5k and 10 k ,https://www.welshathletics.org/en/competition/current/view/ruthin-5k-10k,0
12-Mar-23,Sunday,Widflower duathlon 5k - 30 k - 5k ,https://toughrunneruk.com/events/wildflower-duathlon/,0
25-Mar-23,Saturday,Mumbles duathlon - sprint and Middle distance ,https://www.mumblesduathlon.com/?utm_source=AWE&utm_medium=Website&utm_campaign=featured_event,0
25-Mar-23,Satuday ,The world steepest run 23 ,https://alwaysaimhighevents.com/events/the-worlds-steepest-street-race-2023,0
26-Mar-23,Sunday,Welshpool 10k ,https://www.welshathletics.org/en/competition/current/view/clone-of-welshpool-10km,0
26-Mar-23,Sunday,Cardiff Bay 10 k ,https://www.cardiffbayrun.co.uk/,0
26-Mar-23,Sunday ,Harlech Triathlon and duathlon 2023 ,https://alwaysaimhighevents.com/events/harlech-triathlon-2023,0
2-Apr-23,Sunday,Great Welsh half marathon and Full Marathon -llanelli,https://www.welshathletics.org/en/competition/current/view/2wish-great-welsh-marathon-events,0
2-Apr-23,Sunday ,Wales Duathlon ,https://toughrunneruk.com/events/the-wales-duathlon/,0
9-Apr-23,Sunday,Merlin ride - Tentative ,0,0
15-Apr-23,Saturday,Snowdonia Epic 10k ,https://toughrunneruk.com/events/snowdonia-epic-trail-10k/,0
16-Apr-23,Sunday,Newport marathon ,https://newportwalesmarathon.co.uk/,0
20-Apr-23,Thursday,Long Course wekend - Mallorca ,https://www.lcwmallorca.com/,0
21-Apr-23,Friday,Long Course wekend - Mallorca ,https://www.lcwmallorca.com/,0
22-Apr-23,Saturday,Long Course wekend - Mallorca ,https://www.lcwmallorca.com/,0
23-Apr-23,Sunday,London Marathon ,Good luck lol :) ,0
30-Apr-23,Sunday,Cardiff 5 k race Whitchurch ,https://www.welshathletics.org/en/competition/current/view/cardiff-5km-race-for-victory,0
30-Apr-23,Sunday ,Gorseinon 10 k ,https://app.realbuzzregistrations.com/events/front-runner-events-ltd/gorseinon-10k-2023/login/?next=%2Fevents%2Ffront-runner-events-ltd%2Fgorseinon-10k-2023%2F,0
6-May-23,Saturday,Beast of Bryn 7.5 / 15 miler ,https://toughrunneruk.com/events/beast-of-bryn-2023/,0
7-May-23,Sunday,Ironman Marbella 70.3 ,https://www.ironman.com/im703-marbella,0
12-May-23,Friday,Sospan charity Swim 750 / 1500 / 2250 / 3000 m ,http://www.healthylifeactivities.co.uk/llanelli-sprint-triathlon,0
14-May-23,Sunday,Llanelli sprint - TENTATIVE ,http://www.healthylifeactivities.co.uk/llanelli-sprint-triathlon,0
20-May-23,Saturday,Swansea Epic 10 k ,https://toughrunneruk.com/events/swansea-epic-trail-10k/,0
20-May-23,Satuaray ,Carten,https://www.carten100.com/,0
21-May-23,Sunday,Newtown 10k ,https://www.welshathletics.org/en/competition/current/view/clone-of-newtown-10k,0
21-May-23,Sunday,Outlaw Half Nottingham,https://www.outlawtriathlon.com/nottingham-half/overview/,0
21-May-23,Sunday ,TATA Steelman,https://www.porttalbotharriers.co.uk/events/,0
27-May-23,Saturday,Swansea Swim - 750 m/ 1.9 k / 3k ,https://www.swanseaswim.com/,0
28-May-23,Sunday,Swansea Triathlon,https://www.swanseatriathlon.com/,0
10-Jun-23,Saturday,Challenge Wales - Half iron distance ,https://www.walestriathlon.com/,0
10-Jun-23,Saturday ,Llanberis 1000M/2000m - Slateman swim 2023 ,https://alwaysaimhighevents.com/events/slateman-swim-2023/slateman-swim-1000m-2023,0
10-Jun-23,Saturday,Fishguard sprint ,https://www.fishguardtriathlon.com/,0
11-Jun-23,Sunday,Swansea Half Marathon ,https://www.welshathletics.org/en/competition/current/view/swansea,0
18-Jun-23,Sunday,Widflower Brav Sprint Triatlon - Botanical gardens ,https://toughrunneruk.com/events/wildflower-sprint-triathlon/,0
18-Jun-23,Sunday,Dragon Ride 60 / 97/ 120 / 190 Mile ,https://www.dragonride.co.uk/register-interest-,0
30-Jun-23,Friday,Long Course Weekend Wales - Swim - 1.2 /2.4 m,https://www.lcwwales.com/,0
1-Jul-23,Saturday,"Long Course Weekend Wales - Bike 40,70, 112 miles ",https://www.lcwwales.com/,0
2-Jul-23,Sunday,"Long Course Weekend Wales - - 6,13, 26.2 miles  ",https://www.lcwwales.com/,0
2-Jul-23,Sunday,Ironman UK ,https://www.ironman.com/im-uk-register,0
8-Jul-23,Saturday,ironborne relays / sprint ,https://www.140.6miles.co.uk/,0
8-Jul-23,Satuaday,Tenfoot swim - Tentstive ,0,0
9-Jul-23,Sunday,Ironbourne - Aquathon / Middle Distance / Full distance ,https://www.140.6miles.co.uk/,0
9-Jul-23,Sunday,Outlaw Half Holkham,https://www.outlawtriathlon.com/holkham/overview/,0
16-Jul-23,Sunday,Ironman Swansea 70.3 ,https://www.ironman.com/im703-swansea,0
22-Jul-23,Saturday,Wales Swim Run ,https://www.thewalesswimrun.com/,0
23-Jul-23,Sunday,Cardiff epic trail 10 k ,https://toughrunneruk.com/events/cardiff-epic-10k/,0
28-Jul-23,Friday,Parc Bryn Bach Aquathlon ,https://www.facebook.com/PBBAquathlonSeries/,0
29-Jul-23,Saturday,Outlaw swim - 2.5 and 5 k ,https://www.outlawtriathlon.com/nottingham/overview/,0
30-Jul-23,Sunday,Outlaw Nottingham Weekend,https://www.outlawtriathlon.com/nottingham/overview/,0
5-Aug-23,Saturday ,GV middle distance Port talbot ,https://www.britishtriathlon.org/events/gv-70.3_14049,0
13-Aug-23,Sunday,Port Talbot Half Marathon ,https://porttalbothalfmarathon.co.uk/,0
25-Aug-23,Friday,Parc Bryn Bacch Aquathlon ,https://www.facebook.com/PBBAquathlonSeries/,0
27-Aug-23,Sunday,Severn Bridge Half marathon and 10k ,https://sites.google.com/site/severnbridgehalfmarathon/home,0
2-Sep-23,Saturday ,Saundersfoot Triathlon,https://www.saundersfoottriathlon.com/,0
3-Sep-23,Sunday,IRONMAN Wales ,https://www.ironman.com/im-wales-register,0
3-Sep-23,Sunday,Bala Triathlon ,0,0
3-Sep-23,Sunday,Outlaw X ,https://www.outlawtriathlon.com/outlaw-x/overview/,0
17-Sep-23,Sunday,Ironman Weymouth ,https://www.ironman.com/im703-weymouth,0
24-Sep-23,Sunday,Llanelli half marathon ,https://www.welshathletics.org/en/competition/current/view/llanelli-half-marathon,0
1-Oct-23,Sunday,Ironman Barcelona ,https://www.ironman.com/im-barcelona-register,0
1-Oct-23,Sunday,Landudno Triathlon sprint ,https://alwaysaimhighevents.com/events/llandudno-triathlon-2023,0
1-Oct-23,Sunday,Cardiff Half Marathon ,https://www.cardiffhalfmarathon.co.uk/take-part/register/,0
