Date,Day,Event,Website,Notes
31-Dec-22,,No Galan 5 KM ,https://www.welshathletics.org/en/competition/current/view/nos-galan,
1-Jan-23,Sunday,,,Tough runner
2-Jan-23,Monday,,,Front runner 
3-Jan-23,Tuesday,,,Activtiy wales 
4-Jan-23,Wednesday,,,Ironwales
5-Jan-23,Thursday,,,Healthu life 
6-Jan-23,Friday,,,3 MS 
7-Jan-23,Saturday,,,
8-Jan-23,Sunday,,,
9-Jan-23,Monday,,,
10-Jan-23,Tuesday,,,
11-Jan-23,Wednesday,,,
12-Jan-23,Thursday,,,
13-Jan-23,Friday,,,
14-Jan-23,Saturday,,,
15-Jan-23,Sunday,,,
16-Jan-23,Monday,,,
17-Jan-23,Tuesday,,,
18-Jan-23,Wednesday,,,
19-Jan-23,Thursday,,,
20-Jan-23,Friday,,,
21-Jan-23,Saturday,,,
22-Jan-23,Sunday,,,
23-Jan-23,Monday,,,
24-Jan-23,Tuesday,,,
25-Jan-23,Wednesday,,,
26-Jan-23,Thursday,,,
27-Jan-23,Friday,,,
28-Jan-23,Saturday,,,
29-Jan-23,Sunday,,,
30-Jan-23,Monday,,,
31-Jan-23,Tuesday,,,
1-Feb-23,Wednesday,,,
2-Feb-23,Thursday,,,
3-Feb-23,Friday,,,
4-Feb-23,Saturday,,,
5-Feb-23,Sunday,,,
6-Feb-23,Monday,,,
7-Feb-23,Tuesday,,,
8-Feb-23,Wednesday,,,
9-Feb-23,Thursday,,,
10-Feb-23,Friday,,,
11-Feb-23,Saturday,Hoka Half marathon / 10 K ,https://toughrunneruk.com/events/hora-half-marathon-10k/,
12-Feb-23,Sunday,,,
13-Feb-23,Monday,,,
14-Feb-23,Tuesday,,,
15-Feb-23,Wednesday,,,
16-Feb-23,Thursday,,,
17-Feb-23,Friday,,,
18-Feb-23,Saturday,,,
19-Feb-23,Sunday,Ruthin 5k and 10 k ,https://www.welshathletics.org/en/competition/current/view/ruthin-5k-10k,
20-Feb-23,Monday,,,
21-Feb-23,Tuesday,,,
22-Feb-23,Wednesday,,,
23-Feb-23,Thursday,,,
24-Feb-23,Friday,,,
25-Feb-23,Saturday,,,
26-Feb-23,Sunday,,,
27-Feb-23,Monday,,,
28-Feb-23,Tuesday,,,
1-Mar-23,Wednesday,,,
2-Mar-23,Thursday,,,
3-Mar-23,Friday,,,
4-Mar-23,Saturday,,,
5-Mar-23,Sunday,,,
6-Mar-23,Monday,,,
7-Mar-23,Tuesday,,,
8-Mar-23,Wednesday,,,
9-Mar-23,Thursday,,,
10-Mar-23,Friday,,,
11-Mar-23,Saturday,,,
12-Mar-23,Sunday,Widflower duathlon 5k - 30 k - 5k ,https://toughrunneruk.com/events/wildflower-duathlon/,
13-Mar-23,Monday,,,
14-Mar-23,Tuesday,,,
15-Mar-23,Wednesday,,,
16-Mar-23,Thursday,,,
17-Mar-23,Friday,,,
18-Mar-23,Saturday,,,
19-Mar-23,Sunday,,,
20-Mar-23,Monday,,,
21-Mar-23,Tuesday,,,
22-Mar-23,Wednesday,,,
23-Mar-23,Thursday,,,
24-Mar-23,Friday,,,
25-Mar-23,Saturday,Mumbles duathlon - sprint and Middle distance ,https://www.mumblesduathlon.com/?utm_source=AWE&utm_medium=Website&utm_campaign=featured_event,
25-Mar-23,Satuday ,The world steepest run 23 ,https://alwaysaimhighevents.com/events/the-worlds-steepest-street-race-2023,
26-Mar-23,Sunday,Welshpool 10k ,https://www.welshathletics.org/en/competition/current/view/clone-of-welshpool-10km,
26-Mar-23,Sunday,Cardiff Bay 10 k ,https://www.cardiffbayrun.co.uk/,
26-Mar-23,Sunday ,Harlech Triathlon and duathlon 2023 ,https://alwaysaimhighevents.com/events/harlech-triathlon-2023,
27-Mar-23,Monday,,,
28-Mar-23,Tuesday,,,
29-Mar-23,Wednesday,,,
30-Mar-23,Thursday,,,
31-Mar-23,Friday,,,
1-Apr-23,Saturday,,,
2-Apr-23,Sunday,Great Welsh half marathon and Full Marathon -llanelli,https://www.welshathletics.org/en/competition/current/view/2wish-great-welsh-marathon-events,
2-Apr-23,Sunday ,Wales Duathlon ,https://toughrunneruk.com/events/the-wales-duathlon/,
3-Apr-23,Monday,,,
4-Apr-23,Tuesday,,,
5-Apr-23,Wednesday,,,
6-Apr-23,Thursday,,,
7-Apr-23,Friday,,,
8-Apr-23,Saturday,,,
9-Apr-23,Sunday,Merlin ride - Tentative ,,
10-Apr-23,Monday,,,
11-Apr-23,Tuesday,,,
12-Apr-23,Wednesday,,,
13-Apr-23,Thursday,,,
14-Apr-23,Friday,,,
15-Apr-23,Saturday,Snowdonia Epic 10k ,https://toughrunneruk.com/events/snowdonia-epic-trail-10k/,
16-Apr-23,Sunday,Newport marathon ,https://newportwalesmarathon.co.uk/,
17-Apr-23,Monday,,,
18-Apr-23,Tuesday,,,
19-Apr-23,Wednesday,,,
20-Apr-23,Thursday,Long Course wekend - Mallorca ,https://www.lcwmallorca.com/,
21-Apr-23,Friday,Long Course wekend - Mallorca ,https://www.lcwmallorca.com/,
22-Apr-23,Saturday,Long Course wekend - Mallorca ,https://www.lcwmallorca.com/,
23-Apr-23,Sunday,London Marathon ,Good luck lol :) ,
24-Apr-23,Monday,,,
25-Apr-23,Tuesday,,,
26-Apr-23,Wednesday,,,
27-Apr-23,Thursday,,,
28-Apr-23,Friday,,,
